DATE,unemployment,inflationChange,inflation
1/1/1959,6,0,0
2/1/1959,5.9,0,0
3/1/1959,5.6,0,0
4/1/1959,5.2,0,0
5/1/1959,5.1,0,0
6/1/1959,5,4.13796,4.13796
7/1/1959,5.1,-0.01428,4.12368
8/1/1959,5.2,-4.12368,0
9/1/1959,5.5,4.10964,4.10964
10/1/1959,5.7,-0.01404,4.0956
11/1/1959,5.8,-4.0956,0
12/1/1959,5.3,0,0
1/1/1960,5.2,0,0
2/1/1960,4.8,0,0
3/1/1960,5.4,0,0
4/1/1960,5.2,4.08168,4.08168
5/1/1960,5.1,-0.01392,4.06776
6/1/1960,5.4,-4.06776,0
7/1/1960,5.5,0,0
8/1/1960,5.6,0,0
9/1/1960,5.5,0,0
10/1/1960,6.1,8.10816,8.10816
11/1/1960,6.1,-8.10816,0
12/1/1960,6.6,0,0
1/1/1961,6.6,0,0
2/1/1961,6.9,0,0
3/1/1961,6.9,0,0
4/1/1961,7,0,0
5/1/1961,7.1,0,0
6/1/1961,6.9,0,0
7/1/1961,7,4.02684,4.02684
8/1/1961,6.6,-4.02684,0
9/1/1961,6.7,4.0134,4.0134
10/1/1961,6.5,-4.0134,0
11/1/1961,6.1,0,0
12/1/1961,6,0,0
1/1/1962,5.8,0,0
2/1/1962,5.5,3.99996,3.99996
3/1/1962,5.6,-0.0132,3.98676
4/1/1962,5.6,-3.98676,0
5/1/1962,5.5,0,0
6/1/1962,5.5,0,0
7/1/1962,5.4,0,0
8/1/1962,5.7,3.97356,3.97356
9/1/1962,5.6,-0.0132,3.96036
10/1/1962,5.4,-3.96036,0
11/1/1962,5.7,0,0
12/1/1962,5.5,0,0
1/1/1963,5.7,0,0
2/1/1963,5.9,3.9474,3.9474
3/1/1963,5.7,-3.9474,0
4/1/1963,5.7,0,0
5/1/1963,5.9,0,0
6/1/1963,5.6,3.93444,3.93444
7/1/1963,5.6,-0.01284,3.9216
8/1/1963,5.4,-0.01284,3.90876
9/1/1963,5.5,-7.80492,-3.89616
10/1/1963,5.5,7.80492,3.90876
11/1/1963,5.7,-3.90876,0
12/1/1963,5.5,3.89616,3.89616
1/1/1964,5.6,-3.89616,0
2/1/1964,5.4,0,0
3/1/1964,5.4,0,0
4/1/1964,5.3,3.88344,3.88344
5/1/1964,5.1,-3.88344,0
6/1/1964,5.2,0,0
7/1/1964,4.9,0,0
8/1/1964,5,3.87096,3.87096
9/1/1964,5.1,-3.87096,0
10/1/1964,5.1,0,0
11/1/1964,4.8,3.85848,3.85848
12/1/1964,5,-0.01236,3.84612
1/1/1965,4.9,-3.84612,0
2/1/1965,5.1,0,0
3/1/1965,4.7,0,0
4/1/1965,4.8,3.83388,3.83388
