year,price,dividend,earnings,book.to.market.ratio,treasury.bill,aaa.rate,baa.rate,long.term.yield,consumption.wealth.income.ratio,net.equity.expansion,risk.free.rate,inflation,percent.equity.issuing,long.term.rate,corporate.bond.returns,stock.variance,cross.sectional.premium,investment.to.capital.ratio,stock.returns.crsp.vw,stock.returns.crsp.vwx
1871,4.74,0.26,0.4,,,,,,,,0.0588574267587929,,,,,,,,,
1872,5.07,0.3,0.43,,,,,,,,0.0743055318885892,,,,,,,,,
1873,4.42,0.33,0.46,,,,,,,,0.0901081474209111,,,,,,,,,
1874,4.54,0.33,0.46,,,,,,,,0.0496381188278614,,,,,,,,,
1875,4.37,0.3,0.36,,,,,,,,0.0446978631496131,,,,,,,,,
1876,3.58,0.3,0.28,,,,,,,,0.0418461286849741,,,,,,,,,
1877,3.25,0.19,0.3,,,,,,,,0.0422555149057164,,,,,,,,,
1878,3.45,0.18,0.31,,,,,,,,0.0388192139855723,,,,,,,,,
1879,4.92,0.2,0.38,,,,,,,,0.0411661222495787,,,,,,,,,
1880,5.84,0.26,0.49,,,,,,,,0.0426893338239431,,,,,,,,,
1881,6.01,0.32,0.44,,,,,,,,0.0424253343218073,,,,,,,,,
1882,5.84,0.32,0.43,,,,,,,,0.0465136528060044,,,,,,,,,
1883,5.34,0.33,0.4,,,,,,,,0.0463547518896859,,,,,,,,,
1884,4.34,0.31,0.31,,,,,,,,0.0424753478665263,,,,,,,,,
1885,5.2,0.24,0.27,,,,,,,,0.0320528326766536,,,,,0.02373890328747,,,,
1886,5.64,0.22,0.33,,,,,,,,0.0384286200446229,,,,,0.01645860214014,,,,
1887,5.27,0.25,0.36,,,,,,,,0.0474956503819481,,,,,0.01829845982459,,,,
1888,5.14,0.23,0.26,,,,,,,,0.0395907171200265,,,,,0.01285060194772,,,,
1889,5.32,0.22,0.3,,,,,,,,0.0393592805582463,,,,,0.00687403752511,,,,
1890,4.6,0.22,0.29,,,,,,,,0.0462910724195413,,,,,0.02262105886176,,,,
1891,5.41,0.22,0.34,,,,,,,,0.0441652777789539,,,,,0.01612353170027,,,,
1892,5.51,0.24,0.37,,,,,,,,0.0325194657460934,,,,,0.01088615975763,,,,
1893,4.41,0.25,0.26,,,,,,,,0.0570885635088914,,,,,0.05458439037797,,,,
1894,4.3,0.21,0.16,,,,,,,,0.0228455434338459,,,,,0.01673873834532,,,,
1895,4.32,0.19,0.25,,,,,,,,0.0285405964607861,,,,,0.02868970573088,,,,
1896,4.22,0.18,0.21,,,,,,,,0.0480048303834717,,,,,0.04643323450852,,,,
1897,4.75,0.18,0.31,,,,,,,,0.0269877733989319,,,,,0.0227515174437,,,,
1898,5.65,0.2,0.35,,,,,,,,0.0298396595189576,,,,,0.03242440785725,,,,
1899,6.02,0.21,0.48,,,,,,,,0.032896830292289,,,,,0.02709654190162,,,,
1900,6.87,0.3,0.48,,,,,,,,0.0349880518593104,,,,,0.01716011439899,,,,
1901,7.95,0.32,0.5,,,,,,,,0.0340771391844459,,,,,0.03729298657158,,,,
1902,8.05,0.33,0.63,,,,,,,,0.0398939718657527,,,,,0.0133930277132,,,,
1903,6.57,0.35,0.53,,,,,,,,0.0449452179331029,,,,,0.02474558190041,,,,
1904,8.25,0.31,0.49,,,,,,,,0.0333641382617145,,,,,0.01266884004783,,,,
1905,9.54,0.33,0.67,,,,,,,,0.0351457763270382,,,,,0.01563700540691,,,,
1906,9.84,0.4,0.76,,,,,,,,0.0468521166142279,,,,,0.01709192389358,,,,
1907,6.57,0.44,0.66,,,,,,,,0.0529676769717218,,,,,0.04797905727385,,,,
1908,9.03,0.4,0.58,,,,,,,,0.0348855960777361,,,,,0.02005210937404,,,,
1909,10.3,0.44,0.76,,,,,,,,0.031293577599991,,,,,0.01003485566272,,,,
1910,9.05,0.47,0.73,,,,,,,,0.0407500090208801,,,,,0.01890777505037,,,,
1911,9.11,0.47,0.59,,,,,,,,0.0317427117879399,,,,,0.00778357376721,,,,
1912,9.38,0.48,0.7,,,,,,,,0.0382545089828976,,,,,0.00645429549592,,,,
1913,8.04,0.48,0.63,,,,,,,,0.0459563792274806,0.0204081632653061,,,,0.01067534340609,,,,
1914,7.35,0.42,0.52,,,,,,,,0.0386850543482862,0.00963608420374973,,,,0.01160055855279,,,,
1915,9.48,0.43,0.88,,,,,,,,0.0264901866188685,0.0195142948358646,,,,0.0191049431068,,,,
1916,9.8,0.56,1.53,,,,,,,,0.026263814246043,0.115354582736996,,,,0.01783247429426,,,,
1917,6.8,0.69,1.28,,,,,,,,0.0382109300152098,0.182506984433655,,,,0.03556156759203,,,,
1918,7.9,0.57,0.99,,,,,,,,0.0485799582959265,0.202771442427555,,,,0.01536125796346,,,,
1919,8.92,0.53,0.93,,,0.0573,0.0777,0.049,,,0.0444794846746881,0.145753222442875,,,,0.02454079230152,,,,
1920,6.81,0.51,0.8,,0.0588,0.0626,0.0856,0.054,,,0.0555933906609858,0.0212383223882171,,,,0.03340779962038,,,,
1921,7.31,0.46,0.29,0.596534653465347,0.039,0.055,0.0761,0.0447,,,0.0493650491227313,-0.1078699548993,,,,0.01901912035538,,,,
1922,8.78,0.51,0.69,0.472649485586228,0.0365,0.0508,0.0702,0.0432,,,0.0352741465799364,-0.0254839021753211,,,,0.01471310118995,,,,
1923,8.55,0.53,0.98,0.540201005025126,0.0388,0.0509,0.0738,0.0435,,,0.0400241949127265,0.0256188542858033,,,,0.0156969065127,,,,
1924,10.16,0.55,0.93,0.458883080242303,0.0257,0.0495,0.0646,0.0396,,,0.0274203046253842,-0.00199317365208185,,,,0.01072156165126,,,,
1925,12.46,0.6,1.25,0.389378271415805,0.0351,0.0485,0.0615,0.038,,,0.0306809904853036,0.0383283257361995,,,,0.01352850555316,,,,
1926,13.49,0.69,1.24,0.44147582697201,0.0307,0.0468,0.0568,0.0354,,0.0756585185859186,0.032808095694733,-0.0150973836945688,,0.0776952394616015,0.0737444051490779,0.015703955155,,,0.121939413297103,0.0656407176534166
1927,17.66,0.77,1.11,0.374688589935227,0.0317,0.0446,0.0532,0.0316,,0.0691072642837804,0.03139263365872,-0.0211756023402708,0.26551235442726,0.0894486276224968,0.0744363693933998,0.008103278652,,,0.35796543080361,0.293718734449884
1928,24.35,0.85,1.38,0.259666666666667,0.0426,0.0461,0.056,0.034,,0.0260785259719694,0.0404121479032296,-0.0097931642568132,0.497429287084914,0.000827246142436566,0.0284115620786818,0.018920410166,,,0.389665575105195,0.334419862346937
1929,21.45,0.97,1.61,0.338457823567289,0.0303,0.0467,0.0595,0.034,,0.165812105550496,0.0451051390853565,0.00182971382102615,0.720592940172763,0.0340994673898469,0.0327300406531015,0.118618585162,,,-0.0760399439139976,-0.109361421820424
1930,15.34,0.98,0.97,0.554745412565318,0.0148,0.0452,0.0671,0.033,,0.119841856279572,0.0225186321172532,-0.060665090951681,0.307847488400242,0.0464291951069971,0.079750524585996,0.055266322656,,,-0.263309508801197,-0.296230883531844
1931,8.12,0.82,0.61,1.17073170731707,0.0241,0.0532,0.1042,0.0407,,0.00441953653101918,0.0115255586175818,-0.0957114940881706,0.144664698439477,-0.0531573492567763,-0.0185098198515257,0.125535644289,,,-0.456487940864417,-0.490473893561608
1932,6.89,0.5,0.41,1.44208430136077,0.0004,0.0459,0.0842,0.0315,,0.00892415211411097,0.00782400423616036,-0.103577704805836,0.0372670807453416,0.16845211306616,0.108202240788899,0.221067185192,,,-0.0914243506249442,-0.150400812093712
1933,10.1,0.44,0.44,0.829026046417351,0.0029,0.045,0.0775,0.0336,,0.0100570060082479,0.00256081876901315,0.00429858470844025,0.401055408970976,-0.000693026460363622,0.103760562667452,0.18548745122,,,0.546496743467021,0.486509876841688
1934,9.5,0.45,0.49,0.773740868896578,0.0023,0.0381,0.0623,0.0293,,0.018970449578844,0.00278675023067598,0.0201040904214296,0.0712830957230143,0.100149978655299,0.138434460677571,0.053307840479,,,-0.0248897392179118,-0.0611826130879354
1935,13.43,0.47,0.76,0.559911191285645,0.0015,0.0344,0.053,0.0276,,0.0120292270596645,0.00167628455411428,0.0296053183243172,0.0661959399823478,0.0499608756447232,0.0961485606603698,0.025486280441,,,0.456681904273528,0.400595142118672
1936,17.18,0.72,1.02,0.458588104502501,0.0012,0.031,0.0453,0.0255,,0.0182309855042963,0.0017263594658874,0.0119625641867336,0.120576671035387,0.0749580625181716,0.0674428368319089,0.02302804341,,,0.33637725157821,0.28143974594322
1937,10.55,0.8,1.13,0.707488622258999,0.0011,0.0321,0.0573,0.0273,,0.0237459040215125,0.00276174910283267,0.030851292294221,0.312371557747637,0.00232647386797713,0.027467314775123,0.077818124919,0.0028331217,,-0.360487707011129,-0.394710864457987
1938,13.21,0.51,0.64,0.572039388442602,0.0003,0.0308,0.0527,0.0252,,0.00904649999652953,0.000650191909008724,-0.0279609208848259,0.0449227889564811,0.0551181728789774,0.0613265535655658,0.080497447902,0.0041669638,,0.293958824706981,0.243775733889601
1939,12.49,0.62,0.9,0.58070538035869,0.0004,0.0294,0.0492,0.0226,,0.00579603107328303,0.00045842598324608,-0.00499317622051043,0.0854898336414048,0.0594971434080567,0.039662760073133,0.048597326899,0.0060740339,,-0.0109079026649296,-0.0564850425973222
1940,10.58,0.67,1.05,0.729047510104476,0.0002,0.0271,0.0445,0.0194,,0.0106832922017246,0.00035838965792756,0.0095121420204376,0.118711545421643,0.060922431084991,0.0339408515603159,0.038093017876,0.0042619728,,-0.0971375094201912,-0.150949127462168
1941,8.69,0.71,1.16,0.889509733237203,0.0033,0.028,0.0438,0.0204,,0.0124099610223165,0.0012924013547928,0.096548983184048,0.114209320091673,0.00931820804883343,0.0273141837330371,0.016336225654,0.0034469828,,-0.111662134329815,-0.174751344362589
1942,9.77,0.59,1.03,0.862646566164154,0.0038,0.0281,0.0428,0.0246,,0.00180001182132641,0.00343037022446779,0.0924356396357435,0.123800383877159,0.0321784289666984,0.0259811378905512,0.013030453055,0.0051009425,,0.2083276380694,0.128504284970574
1943,11.67,0.61,0.94,0.78740157480315,0.0038,0.0274,0.0382,0.0248,,0.0195324012344714,0.00380662532433318,0.0313356268174421,0.164305949008499,0.0208788998996512,0.0283259345317397,0.01337836276,0.0019623979,,0.265410220430237,0.202031122891894
1944,13.28,0.64,0.93,0.743763575330744,0.0038,0.027,0.0349,0.0246,,0.00793110231501945,0.00380662532433318,0.021012203647099,0.16452442159383,0.0281508916581878,0.0473218912541693,0.006417178554,0.0035223172,,0.210263150046796,0.149992917595792
1945,17.36,0.66,0.96,0.613239334404645,0.0038,0.0261,0.031,0.0199,-0.0302372991,0.0213726910126836,0.00380662532433318,0.0224158663484126,0.211740041928721,0.107309038915868,0.0407567428448168,0.012687352594,0.0043280057,,0.362362442630702,0.305367297553195
1946,15.3,0.71,1.06,0.692437923250564,0.0038,0.0261,0.0317,0.0212,0.0615821369,0.0512072295840144,0.00380662532433318,0.178703429810843,0.318482101705331,-0.000841923749764661,0.0172295564090006,0.040786612577,0.0017810408,,-0.0879420274430557,-0.124126601602715
1947,15.3,0.84,1.61,0.725325678957827,0.0095,0.0286,0.0352,0.0243,0.0717307146,0.0302440800647335,0.00602468215619156,0.0892673083748388,0.23962986598596,-0.0262746614758886,-0.0233638347142341,0.015633301331,0.0047609245,0.033974812055046,0.0490480131827848,-0.00653022084680699
1948,15.2,0.93,2.29,0.840947546531303,0.0116,0.0279,0.0353,0.0237,0.0369376824,0.0151536312013568,0.0105001799412807,0.0266629283662489,0.15714044849098,0.0338501478551179,0.0413587870772847,0.018146575655,0.0016330103,0.03448967525875,0.0527557506354119,-0.00848823267067878
1949,16.76,1.14,2.32,0.796429283861959,0.011,0.0258,0.0331,0.0209,0.028045041,0.0268473420982054,0.0112071438047672,-0.0181688529344975,0.191869112543381,0.0643905296981975,0.0330876243146421,0.00933829294399999,0.004252018,0.028686549702822,0.178517890819113,0.0956534512792659
1950,20.41,1.47,2.84,0.722538441933566,0.0134,0.0267,0.032,0.0224,-0.0115551439,0.0314836493116493,0.0120998860009318,0.0576290087312925,0.227022780832679,0.000504830012713065,0.0211518120556231,0.017601244443,0.0056625153,0.03413014397144,0.329582989831141,0.230071424480317
1951,23.77,1.41,2.44,0.721316346618133,0.0173,0.0301,0.0361,0.0269,-0.0019154434,0.0359244798255475,0.0152809385625825,0.0584651303588613,0.264823666192998,-0.039421605282188,-0.0269030904448295,0.009812227387,0.0041468933,0.032287964377932,0.234192025736249,0.160200263880212
1952,26.57,1.41,2.4,0.694073312778349,0.0209,0.0297,0.0351,0.0279,0.0008703857,0.0265095279171368,0.0173615448871214,0.00876420331466155,0.202497114678418,0.011693102066427,0.0352092236086079,0.005004850915,0.0034459187,0.031665218664829,0.189394856390047,0.122883339525945
1953,24.81,1.45,2.51,0.759700961196155,0.016,0.0313,0.0374,0.0274,-0.005989001,0.0246631972968,0.0190727668534794,0.0062021667742147,0.20397842211733,0.0362581935715129,0.034114424685753,0.006897557886,0.0027933096,0.032926428539853,-0.0170750687812893,-0.0730100982298129
1954,35.98,1.54,2.77,0.604119785355721,0.0115,0.029,0.0345,0.0272,0.0042640981,0.0260005989386704,0.00942369228591722,-0.00499525713660642,0.213197436166859,0.0717764677628063,0.0538584852914359,0.00636302272,0.0028454745,0.031498387440399,0.526129758446654,0.449426395013104
1955,45.48,1.64,3.62,0.50982800982801,0.0254,0.0315,0.0362,0.0295,-0.0143732034,0.0258071745940838,0.0173862269726741,0.00372432662951216,0.275390625,-0.0128344888622374,0.00479736976698519,0.015611759401,0.00024379918,0.035648096855679,0.313281137615335,0.257992023481273
1956,46.67,1.74,3.41,0.544176827437083,0.0321,0.0375,0.0437,0.0345,-0.0210866293,0.0254330132753531,0.026593389560789,0.0285213389862342,0.268488892951824,-0.0559421648828613,-0.0681462677673459,0.010983629245,0.00096984129,0.034348849232184,0.0645652937409156,0.0219467412135761
1957,39.99,1.79,3.37,0.653675778649957,0.0304,0.0381,0.0503,0.0323,-0.0078226307,0.034887397542461,0.0327308521603018,0.0301722026988014,0.227001009238413,0.0746646690966177,0.0871354575590526,0.016818141606,0.0006679271,0.03307851771515,-0.108357544223329,-0.147419395022863
1958,55.21,1.75,2.89,0.511779319797824,0.0277,0.0408,0.0485,0.0382,-0.0016750145,0.0236855322701751,0.0178504771324284,0.0175569494139076,0.164835164835165,-0.0610620353910043,-0.0221699116159708,0.00788424428999999,0.0015858124,0.029381573346066,0.437871506006843,0.383221056518788
1959,59.89,1.83,3.39,0.457783796514366,0.0449,0.0458,0.0528,0.0447,-0.0009081794,0.0229989877467198,0.0343871771747957,0.0149655680065923,0.262439725043603,-0.0226635570066009,-0.00966789583132788,0.007989445829,0.0009753718,0.031385961131278,0.123364443081458,0.0875469655074643
1960,58.11,1.95,3.27,0.550422965139879,0.0225,0.0435,0.051,0.038,0.0061674051,0.02314900117923,0.0292153782635658,0.0147410354436637,0.204155997636399,0.137933943430489,0.0906649154707446,0.009731235081,-0.0013625136,0.031217482423243,0.00533558348458918,-0.0289785591998046
1961,71.55,2.02,3.19,0.505922258391006,0.026,0.0442,0.051,0.0415,-0.0016593693,0.0206453828618305,0.023797303262963,0.00670522102675064,0.284412032816773,0.00967842672510733,0.0481831888010691,0.006111746257,-0.0022107435,0.031749742258824,0.270868835685202,0.232665265410851
1962,63.1,2.13,3.67,0.591627051065788,0.0287,0.0424,0.0492,0.0395,0.0012578597,0.0208222778063394,0.0280885649305072,0.0122093745926397,0.162167211583372,0.0688294892686656,0.0794503633446488,0.027624926803,-0.0027965748,0.032663104980162,-0.0875063133625282,-0.118615769149493
1963,75.02,2.28,4.02,0.525591454223737,0.0352,0.0435,0.0485,0.0417,0.0008286646,0.00893838699044831,0.032052865756824,0.0164588877512504,0.11147433801896,0.0121436447908792,0.0219487475661388,0.006558011035,-0.0014968686,0.034680582998041,0.22704716239034,0.187870151495157
1964,84.75,2.5,4.55,0.487227300287143,0.0384,0.0444,0.0481,0.0423,-0.0094780964,0.023053756925248,0.0360488715880296,0.0118783157352043,0.221465931074013,0.0351170289674503,0.0477231317942597,0.002492428956,-0.0023805734,0.036892143741451,0.166691729949665,0.132001761804631
1965,92.43,2.72,5.19,0.430637806161401,0.0438,0.0468,0.0502,0.045,-0.0139001615,0.0207685125437269,0.0402142778546935,0.0191954881543712,0.142071035517759,0.00701936978601525,-0.00456793896748131,0.0043885525,-0.00081288747,0.041789806638741,0.126118059964777,0.0920901369687501
1966,80.33,2.87,5.55,0.576945105575991,0.0496,0.0539,0.0618,0.0455,-0.0050342914,0.0171859796384177,0.0497230308948065,0.0334736751810638,0.139047197476899,0.0364500828326439,0.00195291993673785,0.013599015275,-0.000049878855,0.041717135895434,-0.10196590977844,-0.13206763759806
1967,96.47,2.92,5.33,0.525792445117168,0.0497,0.0619,0.0693,0.0556,-0.0262382996,0.0142490269285175,0.0439261974849619,0.0303788379490488,0.1146866682797,-0.0917652651649794,-0.0495058681788044,0.006794733071,0.0029522247,0.038926209566712,0.239670944133336,0.200882138738782
1968,103.86,3.07,5.76,0.504900662251656,0.0596,0.0645,0.0723,0.0598,-0.0352327376,0.0319477245303556,0.0547087222860352,0.0471437755909188,0.208640626422653,-0.00257377747590115,0.0257391321468925,0.007747587858,0.0023475611,0.038961472750588,0.108411610981296,0.0744369323956391
1969,92.06,3.16,5.78,0.651082013094108,0.0782,0.0772,0.0865,0.0687,-0.0142618237,0.0342605971826029,0.0687404687214754,0.0609188826246849,0.313951314362637,-0.0507360148753789,-0.0809043138961316,0.011238514024,0.00082225183,0.039103888474574,-0.0831182290644414,-0.11309488234085
1970,92.15,3.12,5.13,0.646426357697993,0.0487,0.0764,0.0912,0.0648,-0.0136916146,0.0315364736013069,0.0658202169607476,0.054782072133426,0.222884141331142,0.121021806970932,0.183713790227419,0.02481232068,0.0015125012,0.035500917363028,0.0399595762787546,0.00167792525630661
1971,102.09,3.07,5.7,0.643900247135475,0.0401,0.0725,0.0838,0.0597,-0.0305649342,0.0338925733269055,0.0441944874043476,0.0335240990795875,0.287447327567088,0.132367216268185,0.110125859896848,0.010757482871,0.0022538795,0.035774305855679,0.144642799371159,0.109243729187905
1972,118.05,3.16,6.42,0.595674594615792,0.0507,0.0708,0.0793,0.0599,-0.0374084095,0.0342805004703352,0.0414924007021331,0.0340626359586336,0.311294897156613,0.0568244211901516,0.0725975174837348,0.006169436541,0.00031144652,0.03835238374912,0.191059039976802,0.157557325808422
1973,97.55,3.4,8.16,0.755588463436993,0.0745,0.0768,0.0848,0.0726,-0.0351322253,0.0128410744096243,0.0726230398004242,0.0875638595086554,0.333083765086401,-0.0111038792164253,0.0113949647197749,0.023850784091,-0.0006401994,0.040378061620023,-0.147971915211204,-0.174802264115528
1974,68.56,3.62,8.89,1.12001817473712,0.0715,0.0889,0.1063,0.076,-0.0067314624,0.00889536494412208,0.0811708754018152,0.121372546567549,0.163064474027669,0.0434264930190931,-0.030617512511582,0.043069858182,-0.00083048791,0.036539242790901,-0.264193631510523,-0.296625546584627
1975,90.19,3.69,7.96,0.876338851022395,0.0544,0.0879,0.1056,0.0805,-0.0090668847,0.0235935605723178,0.0593025852576874,0.0699122197543154,0.202599873176918,0.0918688771725986,0.14644256327734,0.021820929281,-0.00046511563,0.032824976018021,0.369532185978869,0.313567979925752
1976,107.46,4.09,9.91,0.779973124968895,0.0435,0.0798,0.0912,0.0721,-0.0119655099,0.0286909816840755,0.0508912091300131,0.0479994701968673,0.207928029238122,0.167645110214351,0.186468693793516,0.010867465682,-0.0011227041,0.034107775047828,0.239163090398148,0.191265502880325
1977,95.1,4.71,10.89,0.960333024531684,0.0607,0.0819,0.0899,0.0803,-0.0067820301,0.0305013730648818,0.0539814068561335,0.0674841386487481,0.218935901249256,-0.00698854750346267,0.0170977831892929,0.006917930404,-0.0018338899,0.036950508473101,-0.0742804605938177,-0.116903220165088
1978,96.11,5.12,12.33,1.04570129563608,0.0908,0.0916,0.0994,0.0898,-0.0081581302,0.0147348053876055,0.0742957610656605,0.0899182468078636,0.219449152542373,-0.0116586902594554,-0.000703563104524352,0.014462409363,-0.0015481539,0.0410087237884,0.0639969677315653,0.00946491834924146
1979,107.94,5.7,14.86,1.06195006795908,0.1204,0.1074,0.1206,0.1012,-0.0093957065,0.0103823171396761,0.105465969693837,0.132330994701191,0.220056738691124,-0.0125031159434282,-0.0420041054847022,0.011714795008,-0.00037113093,0.040549181533453,0.186005073006987,0.122759007928959
1980,135.76,6.24,14.82,0.891503023890289,0.1549,0.1321,0.1514,0.1199,-0.0137720093,0.0269436676873914,0.12049530814517,0.123246940372338,0.278024289300495,-0.0395298639636583,-0.0275652600551682,0.026658521467,0.0010201575,0.037848449166554,0.325971159678327,0.259774197469363
1981,122.55,6.65,15.36,1.06114285714286,0.1085,0.1423,0.1655,0.1334,-0.0032436081,0.0120069048248113,0.149613728998989,0.0890098124555174,0.362175136803303,0.0185697055695062,-0.0123619323631896,0.017116902001,-0.0012794664,0.03905395493146,-0.0487789823082537,-0.0965079321982486
1982,140.64,6.89,12.64,0.932214726622967,0.0794,0.1183,0.1414,0.1095,-0.0001066045,0.0030100517011931,0.111438277521414,0.0385410810390363,0.364753902706831,0.403503691412613,0.425618992977578,0.027420391197,-0.0013463488,0.033225331035217,0.221516344296723,0.153876618658271
1983,164.93,7.12,14.03,0.700359117777919,0.09,0.1257,0.1375,0.1197,0.0175743011,0.0269866107731416,0.089588456547627,0.0378783523564319,0.43000775329515,0.0065190631292682,0.0625857638204426,0.014744207508,-0.0016937271,0.035576411825851,0.223033766234818,0.170288282741033
